Discovery: Как устроена Вселенная,9.0,2010,Адам Уорнер,Документальные|Зарубежные,Фил Плейт||Майк Роу||Мишель Таллер||Лоуренс Краусс||Мичио Каку||Ричард Линтерн||Hakeem Oluseyi||Дэн Дарда||James S. Bullock||Джофф Марси," Захватывающий научно-популярный сериал «Как устроена Вселенная», созданный телеканалом Discovery, попытается ответить на вопрос, который волновал человечество на протяжении многих лет: как возникла наша Вселенная, и выросла до таких необъятных размеров. Технологический прогресс не стоит на месте, и современные технологии уже достигли такого развития, что позволяют человеку исследовать космос, как никогда раньше. Но как же так получилось, что из маленькой точки Вселенная превратилась в огромный космос. Ни для кого не секрет что Луна, будучи спутником Земли, вращается вокруг нее, а та в свою очередь оборачивается вокруг солнца. Но вокруг чего оборачивается само Солнце? И чем дальше лучшие астрономические умы мира продвигаются в своих исследованиях, тем больше все новых и новых вопросов у них возникает… ",https://rezka.ag/i/2014/9/24/z9c230cfbf60any37b73z.jpg
В ожидании солнца,6.8,2013,Алтан Дёнмез,Драмы|Зарубежные,Керем Бюрсин||Ханде Догандемир||Ягмур Танрисевсин||Исмаил Эге Шашмаз||Эмре Кинай||Гёкче Янардаг||Эбру Айкач||Hasan Sahinturk||Simay Küçüktuna||Эдже Диздар," Спокойная жизнь главных героинь телевизионного сериала «В ожидании солнца» проходит в тихом и уютном городке под названием Гельязы, который по своей территории больше можно отнести к деревне. Здесь у Демет и Зейнеп есть свой небольшой магазинчик, который практически не приносит дохода, но требует невероятных затрат физических и моральных усилий. Зейнеп представляла, что вся жизнь пройдет в этом бесперспективном месте, но внезапно от давней подруги матери приходит неожиданное приглашение.Жале является уважаемым преподавателем в престижном институте Стамбула, и пришел день, когда девушка предложила подруге с дочкой переехать к ней. Жале обещает всячески помогать неопытным провинциалкам, пока девушки не смогут отыскать своей место под солнцем в огромном и шумном мегаполисе. Демет всегда мечтала вырваться из родного захолустья, а если представляется возможность обеспечить наследнице прилежное образование, то тут и думать не о чем.После переезда в Стамбул главные героини столкнутся с массой сложностей и преград, ведь современное городское общество с неохотой принимает в ряды выходцев из удаленных поселков. Пройдет огромное количество времени, пока провинциалки докажут остальным полезность и состоятельность. ",https://rezka.ag/i/2016/7/10/v0df950f91c8bjk59q59f.jpg
Сигнал,8.8,2016,Ким Вон-сок,Триллеры|Драмы|Криминал|Фантастика|Зарубежные,Ли Джэ-хун||Ким Хе-су||Чо Джин-ун||Чан Хён-сон||Чон Хэ-гюн||Ким Вон-хэ||Сон Хён-джу||Чон Сог-ён||Ли Сан-ёп||Со Ын-а," Сериал является фантастической интерпретацией истории, связанной с серией жестоких нераскрытых убийств, которые произошли в Хвасоне с 1986 по 1991 года. Эти ужасные преступления стали не только самыми громкими за всю историю нынешней Южной Кореи, но и самыми масштабными по количеству задействованных стражей порядка, так как на поиски убийцы было поднято около двух миллионов полицейских.Талантливый и очень наблюдательный лейтенант полиции Пак Хэ Ён в детстве стал свидетелем похищения своей ровесницы, которую позже нашли жестоко убитой. Несмотря на то, что полиция пыталась найти молодого человека, по их мнению, ответственного за смерть школьницы, парень еще тогда знал, что убийцей является женщина, но никто из взрослых ему не поверил. По прошествии пятнадцати лет, накануне закрытия дела наш герой случайно находит старую рацию, где он слышит голос детектива Ли Чже Хана, который окончательно убеждает молодого полицейского в своей правоте. Не теряя времени, Пак Хэ Ён отправляется на поиски той самой женщины, которую он видел в детстве. В тот момент наш герой абсолютно не догадывался, что он каким-то невероятным образом разговаривал с человеком из прошлого, и это был их далеко не последний разговор… ",https://rezka.ag/i/2016/5/7/udd139d633155wl25g52f.jpg
Атом,8.7,2007,Тим Усборн,Документальные|Зарубежные,Джим Аль-Халили," «Атом» (Atom) – это познавательный документальный мини-сериал о мире. Ученые сделали ряд уникальных открытий, основанных на том, что все в мире состоит из мельчайших частиц – атомов. Многие люди живут и не задумываются над тем, сколько тайн и загадок скрывает природа. Все, что окружает нас, имеет свою природу возникновения и состоит из атомов. Но мы привыкли относиться ко всему как к чему-то должному и даже не пытаемся что-то познать. Компания BBC предоставляет зрителям уникальный шанс – узнать из чего состоит мир, и какие чудеса он скрывает. Фильм будет интересен тем, кто стремится к саморазвитию. ",https://rezka.ag/i/2015/3/12/p9c95b80973b3bf45u18w.jpg
Умар ибн аль-Хаттаб,9.0,2012,Хэйтем Али,Драмы|Военные|Исторические|Зарубежные,Самер Измаил||Гасан Масуд||Зиэд Туати||Джихад Абду||Мехьяр Хаддур," Религия ислам, так же, как и христианство, во все времена вызывала массу вопросов не только у самих верующих, но и у историков. Существует масса историй, связанных с загадочными личностями пророков, повествующих слово Бога широким массам верующих. Представленная картина «Умар ибн аль-Хаттаб» является одним из произведений, построенных на реальных событиях и жизни наиболее знаменитого халифа, который завоевал репутацию праведника и мудрого советника нескольких поколений исламских правителей.Данный сериал отнюдь не является пропагандистским, в сериях раскрываются исключительно доказанные исторические факты и ситуации, которые преследовали одиозную личность халифа в его праведных скитаниях. Кинопроект снят без нецензурных сцен или каких-либо отступлений, модных в современном кинематографе, так что его будет полезно посмотреть не только взрослым, но и подрастающему поколению. Успевшие оценить сериал зрители отмечают, что все актеры прекрасно справились с поставленной задачей, особенно выделяется исполнитель главной роли, Самер Измаил. Человек полностью отдался во власть религии, приняв на себя тяжелую ношу пророка. Великолепно и зрелищно, именно так можно охарактеризовать данное произведение, снятое в Марокко. ",https://rezka.ag/i/2016/5/21/b091a2704cd02eg70a65i.jpg
Вторая мировая война – день за днём,7.2,2005,Ольга Андрианова,Документальные|Военные|Исторические|Русские,Виктор Правдюк," Многосерийный телевизионный сериал, посвященный крупнейшему вооруженному конфликту за всю историю человечества. Носящая название Вторая мировая война, длившаяся с 1 сентября 1939 по 2 сентября 1945, она разделила мир на две противоборствующие коалиции, вовлекая в противостояние большинство из существовавших тогда стран. За весь срок войны вооруженные столкновения возникали на значительной части территории Земного шара, включая три континента и четыре океана. Это был тяжелейший этап в жизни многих народов, оказавшихся невольными участниками не имеющих аналогов по масштабам кровопролитных боевых действий, результатами которых стали многомиллионные жертвы. Данный фильм подвергает глубокому анализу все ключевые моменты трагического исторического периода с самого первого дня страшной войны, начавшейся с вторжения Германии и Словакии в Польшу. Обращаясь к рассекреченным архивным документам и сопровождаемые редкими кадрами кинохроники, авторы дают свою оценку многим историческим событиям, имевшим место в определенный период войны, как широко известным, так и до недавнего времени не подвергаемым огласке. В целом концепция телефильма заключается в том, что каждому месяцу Второй мировой посвящается отдельная серия, подробно рассматривающая все важные эпизоды за такой короткий, но непременно насыщенный событиями отрезок времени. Благодаря этому создается невероятный эффект погружения в историю и неизбежное осознание того, какими поистине нечеловеческими усилиями была одержана такая долгожданная победа. ",https://rezka.ag/i/2016/5/4/dbce737582e81ze77p51s.jpg
BBC: Величайшие явления природы,9.0,2009,Питер Бассетт,Документальные|Зарубежные,Дэвид Аттенборо||Джо Стивенс||Пол Бейлштейн||Стив Бенжамин||Том Фитц||Майк Холдинг||Роджер Хоррокс||Хасани Иса||Оуэн Ньюман||Дэвид Ричерт," Человек – властелин мира. Мы привыкли к своему величию. Человечество вышло в космос и покорило глубины океанов. Мы меняем и организовываем окружающий мир по своему желанию. Селекция, генная инженерия, техника и технологии, добыча полезных ископаемых – нам всё по силам. Разум наше главное оружие. Что осталось на Земле такого, что мы не знаем или не можем объяснить? Нас нельзя удивить. Мы знаем и можем всё. Если вы действительно так думаете, то создатели фильма «Величайшие явления природы» преподнесут вам сюрприз.Вы увидите организованные процессы грандиозные по своим масштабам, но при этом абсолютно не требующие интеллектуального управления. Сложнейшие природные механизмы функционируют сами по себе. Это кажется невероятным. Как это может происходить без планирования, организации и контроля разума? Тем не менее, это происходит.Канал BBC известен своими документальными фильмами. Пожалуй, нет лучших документалистов, и сериал «Величайшие явления природы» это в очередной раз докажет. Очевидно, что проделана огромная работа. Были отсняты «тонны» материала, чтобы развернуть перед зрителями всеобъемлющее, упорядоченное, красочное повествование. Прекрасный сериал о поражающей созидательной силе природы. ",https://rezka.ag/i/2016/5/14/g01903cc2cb32ra69z53t.jpg
Планеты,9.2,2019,Стивен Кутер,Документальные|Зарубежные,Брайан Кокс," В документальном сериале показывается невообразимое величие и красота каждой из восьми планет Солнечной системы, а также рассказывается о важнейших этапах их формирования, от момента зарождения до наших дней. Наряду с самыми точными фотографиями и данными о последних космических исследованиях, создатели проекта использовали реалистичные компьютерные модели, чтобы наиболее подробно передать захватывающую историю этих миров, насчитывающую 4,5 миллиарда лет эволюционных преобразований. ",https://rezka.ag/i/2019/7/20/pdcc7b9772970cj45r25g.jpg
Внутри,8.0,2016,Улуч Байрактар,Драмы|Мелодрамы|Боевики|Зарубежные,Чагатай Улусой||Арас Булут Ийнемли||Четин Текиндор||Мустафа Угурлу||Нихал Г. Колдаш||Бенсу Сорал||Дамла Джолбай||Йилдирай Сахинлер||Небил Сайин||Мустафа Йилдиран," Сарп – один из лучших студентов полицейской академии, мечтающий стать детективом. Вот только сделать это оказывается не так просто, так как его семья имеет тёмное прошлое. Когда Сарп и его младший братишка Умут были еще детьми, их отца на глазах у малышей и не на шутку испуганной супруги арестовывает полиция, обвиняя в совершении нескольких преступлений и связях с мафией. А через некоторое время внезапно пропадает трёхлетний Умут, которого правоохранители так и не смогла найти.Решив стать полицейским, парень поступает в академию, совершенно не догадываясь о том, что вместе с ним в этом же учебном заведении оказывается его младший брат, которого теперь зовут Мерт. Перед самым выпускным начальник полиции выгоняет Сарпа из академии, в результате чего парень, весьма расстроенный данным событием, наставляет на главу полиции оружие, но, не сумев выстрелить, попадает в тюрьму. Во время отбывания наказания, нашему герою удаётся произвести впечатление на одного из людей влиятельного криминального авторитета, который после освобождения предлагает отчаянному парню работу. Понимая, что ему нечего терять Сарп принимает предложение, абсолютно не догадываясь, что с этого момент он и его брат оказываются по разные стороны баррикад. ",https://rezka.ag/i/2017/10/30/oa384fa52ecaawg13a90t.jpg
Один литр слёз,8.8,2005,Масанори Мураками,Драмы|Мелодрамы|Зарубежные,Эрика Савадзири||Рё Нисикидо||Хироко Якусимару||Таканори Дзиннай||Рико Наруми||Наохито Фудзики||Саори Койдэ||Юма Санада||Ани Миёси||Мацуяма Кэнити," Драматическая японская картина о нелегкой жизни и внезапных поворотах судьбы от режиссера Масанори Мураками. В главных ролях Эрика Савадзири, Ре Нисикидо.Простая японская семья. Простые человеческие взаимоотношения. Родители, которые владеют небольшой лавочкой по продаже тофу, дети, которые всеми силами стараются помочь своей семье и учатся в хорошей школе. Казалось бы, что страшного подготовила судьба этой милой и безобидной семье? Ая – старшая дочь своих родителей, умница и красавица, настоящая гордость мамы и папы, самостоятельно поступила в один из лучших университетов страны. Она всю жизнь мечтала помогать людям, потому и специальность выбрала соответствующую. Вот только за несколько месяцев до отъезда на учебу, мама стала замечать за дочерью странные и пугающие вещи – девушка могла упасть на ровном месте, периодически теряла координацию и стала жаловаться на головные боли. После обследования в больнице выяснилось, что у этой подающей надежды студентки редкое и неизлечимое заболевание, при котором тело полностью перестает слушаться и каждое движение причиняет невыносимую боль. Лечения нет, шансов нет, но девушка старается не сдаваться, проходить мучительные курсы уколов, длительную реабилитацию, и всеми силами пытается побороть свой недуг. Она всегда мечтала помогать людям. После ее смерти опубликовали ее тайный дневник, который Ая вела с 15 лет, и в котором описывала свою жизнь и то, как она хотела жить и боролась с болезнью, несмотря на ежедневную боль и страдания. Эта история помогла многим людям поверить в себя и продолжать лечение, так что Ая выполнила свою миссию. ",https://rezka.ag/i/2016/9/29/rba07d610aad2fl24e44f.jpg
Апокалипсис: Первая мировая война,8.9,2014,Изабель Кларк,Документальные|Военные|Зарубежные,Франсуа Арно||Матьё Кассовиц||Жозеф Жоффр||Эрих Людендорф||Филипп Петен||Вудро Вильсон||Император Карл||Фердинанд Фош||Дуглас Хейг||Джон Дж. Першинг," Документальный драматический сериал французского, канадского и американского производства от режиссеров и сценаристов Даниэля Костеля и Изабель Кларк.Это военная история, состоящая из пяти сложных и тяжелых для неподготовленного зрителя эпизодов. Каждая художественная часть раскрывает подлинную суть хладнокровных и жестоких событий Второй Мировой войны. В фильме использованы современные документы, редкие архивные кадры, тщательно восстановленные и раскрашенные, и хронологические ранее не известные материалы, с помощью которых удалось восстановить подлинную историю ужасов и несправедливостей наступательной войны. Съемочная группа рисковала жизнями, переносила невероятные трудности, чтобы запечатлеть каждый военный момент. Несправедливость, которая делает из обычных парней вооруженного солдата, не приносит ничего хорошего в этот мир. Большие беды, невосполнимые потери и человеческие утраты - результаты правительственного произвола и жестокости. Люди, которые в обычной жизни могли бы стать хорошими друзьями, невзирая на социальный статус и национальную принадлежность, вынуждены по приказу властей хладнокровно и безжалостно убивать друг друга. Наступательная волна - бессмысленное смертоубийство, несущее несчастья и горе. Однако некоторые страны по-прежнему являются сторонниками такого антигуманного урегулирования конфликтов, а правительство всегда будет манипулировать людьми для осуществления своих целей. ",https://rezka.ag/i/2016/5/4/x5081e1b76e71pr23z43m.jpg
Династии,9.2,2018,Саймон Блэкни,Документальные|Зарубежные,Дэвид Аттенборо," Сериал расскажет о королевских пингвинах, шимпанзе, львах, тиграх и гиеновидных собаках – пяти хорошо известных во всем мире животных, популяция которых неумолимо сокращается с каждым годом. Путешествуя от африканских равнин до индийских джунглей, от края Сахары до замерзших пустынь Антарктиды, зрители смогут понаблюдать, как лидеры сражаются с соперниками за свой статус, а родители рискуют жизнями ради спасения детей. Будучи совершенно разными, все животные объединены общей целью – выжить и защитить следующее поколение. ",https://rezka.ag/i/2019/1/17/kf3a64340892dev88h33a.jpg
Любовь напрокат,7.2,2015,Метин Балекоглу,Мелодрамы|Комедии|Зарубежные,Эльчин Сангу||Барыш Ардуч||Салих Бадемчи||Синем Озтюрк||Нергис Кумбасар||Левент Юльген||Осман Акджа||Онур Бююктопчу||Мелисса Гиз Ченгиз||Керем Фиртина," Главный герой Омер молод, обаятелен, умен и богат, набор вполне достаточный, чтобы иметь ошеломляющий успех у представительниц прекрасного пола. Дни напролет он проводит не в тусовках и барах, как многие молодые люди из обеспеченных семей, а в собственном офисе, возглавляя обувную компанию, бизнес процветает, перспективы превосходные. У босса есть помощница Ясемин - умная, интеллигентная девушка, но у них только деловые отношения, начальник пока не собирается обзаводиться семьей.Родственница Омера, заменившая ему родителей, решает, что фундамент благополучия построен, пора парню заняться личной жизнью, у нее на примете и невеста есть – не так давно вернувшаяся из Америки после окончания учебы наследница крупного состояния. Барышня совсем недалекая, на уме лишь шмотки, она уже представила, как будет блистать в свете под руку с прекрасным мужем.Омер, уступив уговорам тетушки, отправляется на свидание с Сезен, щебетавшей весь вечер о своих поклонниках и популярности в соцсетях. Барышня не впечатлила парня, несмотря на привлекательную внешность.Случайно герой познакомился с официанткой Дефне, чтобы отвязаться от навязчивой американки, он целует девушку на глазах у тети. Но родственница не привыкла так просто отказываться от своих идей. ",https://rezka.ag/i/2016/4/18/rb7721457deebeq13r76g.jpg
