Планета Земля 2,9.5,2016,Justin Anderson,Документальные|Зарубежные|Познавательные,Дэвид Аттенборо," Паря на воздушном шаре над заснеженными вершинами гор, Дэвид Аттеборо рассказывает, что 10 лет назад они уже снимали фильм с таким названием. За довольно продолжительный промежуток времени у съемочной группы появились новые технические возможности и опыт. В новом сериале они покажут нам живой мир планеты Земля по-новому.Мы посетим все уголки Земного шара, проследим сложный путь животных на пути к выживанию. Вараны и крабы, мартышки и беркуты, ирбисы и горные козлы – они такие разные, но все одинаково прекрасны. Бои варанов за самку – битвы гигантов, они готовы биться до смерти, лишь бы выполнить основное свое предназначение – продолжить род. Крабы вышли из моря и живут на суше. Чтобы обзавестись потомством, им нужно пройти долгий путь обратно, в соленые воды. 50 миллионов красных крабов отправляются в опасное путешествие, далеко не всей дойдут.Высоко в горах растет удивительное растение крестовник. На ночь его коробочки закрываются, будто умирая, но с первыми лучами солнца жизнь возвращается.Лишь сильнейшим дано выжить среди величественных гор и в глубинах океана, а наблюдать за историями триумфа жизни нам посчастливится благодаря уникальной работе съемочной группы. ",https://rezka.ag/i/2016/12/12/y095a0f33e6dfzn32z60k.jpg
Наша планета,9.4,2019,Адам Чэпман,Документальные|Зарубежные,Дэвид Аттенборо," В документальном сериале натуралист Дэвид Аттенборо рассказывает о разнообразии животного мира Земли и исследует влияние климатических изменений на способность различных видов к выживанию. Вместе с ведущим зрители побывают в заледенелой арктической тундре, пышных тропических лесах и обширных южно-африканских пустынях. Шоу повествует о чудесах природы, взаимосвязи разных видов животных, влиянии возрастающей популяции людей на планету, а также ответственности, которую несёт человечество за сохранение Земли. ",https://rezka.ag/i/2019/4/9/wf491fa331d57gn55n48u.jpg
Место встречи изменить нельзя,8.9,1979,Станислав Говорухин,Боевики|Приключения|Детективы|Криминал|Русские,Владимир Высоцкий||Владимир Конкин||Сергей Юрский||Виктор Павлов||Наталья Фатеева||Леонид Куравлёв||Светлана Светличная||Александр Белявский||Евгений Евстигнеев||Армен Джигарханян," Криминально-детективный сериал «Место встречи изменить нельзя», в основу которого лег роман братьев Вайнеров «Эра милосердия», рассказывает о непростых рабочих буднях сотрудников уголовного розыска города Москвы сразу же после окончания Великой Отечественной войны.На дворе осень 1945-го года. В центре сюжета опытный сотрудник МУРа – Глеб Жеглов, а также молодой фронтовик по имени Владимир Шарапов, который только пришел работать в отдел по борьбе с бандитизмом. Вместе со своими коллегами главные герои ведут разработку опасной банды, получившей название «Черная кошка». Ее члены промышляют разбойными нападениями на магазины, и каждый раз оставляют после себя трупы, ведь они готовы без всякого сожаления расправиться с каждым, кто встанет на их пути. Сотрудники правоохранительных органов бросают все силы на поимку преступников, но, к большому сожалению, как только оперативникам удается выйти на след кого-нибудь из членов банды, тому каким-то чудом удается ускользнуть. Однажды во время оперативного мероприятия происходит непредвиденное, и Шарапов оказывается в руках бандитов. С этого момента дело приобретает совершенно другой оборот… ",https://rezka.ag/i/2016/1/2/u89bd85428201cz44a65i.jpg
Список Ланъя,9.0,2015,Кун Шэн,Драмы|Боевики|Фэнтези|Зарубежные,Гэ Ху||Лю Тао||Кай Ванг||У Лэй||Чжоу Цици||Виктор Хуан||Цзинь Дун||Гао Синь||Чжан Яньянь||Чжун Вэйхуа," Ожесточенная война, разразившаяся между династиями Северный Вэй и Южный Лянг, стала первым серьезным сражением для 19-летнего Лин Шу, сына генерала Лин Се. Их войскам, усиленным армией Чиян, удалось разбить солдат Вэй, однако политические конкуренты организовали ловушку, в результате которой ослабленные боевые соединения генерала Лин Се были уничтожены. Лин Шу чудом выжил в кровавой бойне, после чего сменил имя и основал Альянс Цзянцзо, как мастер боевых искусств. Но спустя двенадцать лет возмужавший герой возвращается в столицу Лянг, отчаянно желая отомстить за унижения, полученные в прошлом. ",https://rezka.ag/i/2019/7/9/p92f233c9e6fcrs29y90v.jpg
Семнадцать мгновений весны,8.9,1973,Татьяна Лиознова,Драмы|Приключения|Военные|Исторические|Русские,Вячеслав Тихонов||Леонид Броневой||Екатерина Градова||Ростислав Плятт||Олег Табаков||Евгений Евстигнеев||Отто Мелис||Леонид Куравлёв||Константин Желдин||Михаил Жарковский," В основу сюжета многосерийной военной драмы «Семнадцать мгновений весны», снятой кинорежиссером Татьяной Лиозновой, лег одноименный роман известного русского писателя Юлиана Семенова, повествующий о советском разведчике, который был внедрен в правящие органы власти гитлеровской Германии.События картины происходят с середины февраля по конец марта 1945 года, за пару месяцев до того момента, как Германия капитулировала во Второй мировой войне. Главный действующий персонаж картины - штандартенфюрер Макс Отто фон Штирлиц, который работает в рядах Службы безопасности рейхсфюрера СС. Он советский разведчик, и однажды вышестоящее руководство ставит перед ним задачу выяснить, кто из представителей верхних эшелонов власти Третьего Рейха втайне от СССР ведет переговоры о заключении перемирия с Великобританией и Соединенными Штатами. Большинство окружающих даже не догадываются, кем на самом деле является Штирлиц, и только начальник Главного управления имперской безопасности СС Эрнст Кальтенбруннер испытывает подозрения в отношении него. Ему кажется, что именно Штирлиц имеет непосредственное отношения к серьезным провалам нацистов в создании так называемого «оружия возмездия». Кальтенбруннер дает поручение политической полиции Рейха провести в отношении Штирлица тайную проверку, что само собой очень сильно осложняет разведчику жизнь… ",https://rezka.ag/i/2016/3/8/ka6c45208fd10tf20w96b.jpg
Африка,9.0,2013,Катрина Бартлам,Документальные|Зарубежные,Дэвид Аттенборо||Саймон Блэкни||Джеймс Олдред||Катрина Бартлам||Тим Берроу||Andres Bifani||Paul Brehem||Кейт Брум||Kahindi Changawa||Мартин Колбек," Британский телевизионный сериал от BBC Natural History, рассказывающий о жизни диких животных, а также об их местах обитания в Африке.Это новый и свежий взгляд на красоту природного ландшафта, сочетающийся с уникальными и профессиональными съемками. Каждая серия представляет собой невероятно интересную и познавательную историю о том или ином удивительном представителе фауны в сочетании с подробным лекционным и исчерпывающим материалом. Зритель встречает маленьких страусят, идущих с мамой на водопой, общительных черных носорогов и жирафов, ведущих ожесточенные бои. Ящерицы бесстрашно приближаются к логову львов, чтобы поохотиться на летающих насекомых. Забавный шимпанзе в районе бассейна реки Конго ворует мед из пчелиных ульев, используя различные предметы в качестве вспомогательных инструментов. Лесные буйволы, бегемоты, слоны и красные речные свиньи выходят из леса, чтобы позагорать и искупаться. Светящиеся грибы, лысые сороки и серебряные муравьи - сериал пестрит многообразием удивительных обитателей животного мира.Самая первая серия начинается в юго-западной части Африки в Калахари и Намибе. Здесь впервые показаны крупнейшее в мире подземное озеро, а также золотая пещера сома. Помимо позитивной стороны этого научного сериала, съемочная группа не обошла стороной и довольно агрессивные ситуации, связанные со смертями животных. Например, обсуждается гибель умирающего от голода слоненка на равнинах Амбосели, где в течение 50 лет царит сильнейшая засуха. ",https://rezka.ag/i/2016/4/16/tafe1f66b55aads48c69r.jpg
Вернуться в 1988,8.8,2015,Щин Вон-хо,Драмы|Комедии|Мелодрамы|Зарубежные,Ли Хе Ри||Пак По-гом||Ко Гён-пхё||Рю Джун-ёль||Ли Дон-хви||Ан Джэ-хон||Sung-won Choi||Ким Сон Гён||Ли Иль-хва||Ра Ми Ран," В центре сюжета сериала находятся истинные человеческие чувства, которые испытывает главная героиня и трое ее друзей. Док Сон старается отыскать свою любовь, но сделать это не так просто. Пока родной город шумит и бурлит на волне международного спортивного события, простые подростки из Южной Кореи пытаются наладить свою жизнь. Зрителю продемонстрируют несколько сюжетных линий, в которых рассказывается о четырех разных семьях. Молодые люди, находясь в переходном возрасте, еще не уверены в своих чувствах, но вскоре им предстоит сделать нелегкий выбор. ",https://rezka.ag/i/2018/5/12/h14854347b998af22s79u.jpg
История жизни,9.1,2014,Софи Лэнфиар,Документальные|Зарубежные,Дэвид Аттенборо||Dwen Gyimah," Телекомпания ВВС устами известного ведущего Дэвида Аттенборо приглашает зрителя отправиться в увлекательное путешествие, в ходе которого он познакомит нас с различными видами животных. Природа, создавая животный мир, позаботилась о том, чтобы живые существа оставили после себя след. На каждом этапе жизни животные сталкиваются с множеством препятствий, но они гениально сражаются, и предпринимают усилия для того, чтобы заполучить достойного спутника жизни.Инстинкт размножения – самый сильный, животные ищут себе пару, чтобы передать потомству весь генетический багаж, накопленный тысячелетиями – это прямой путь к бессмертию. Но мало произвести малышей на свет, важно, чтобы они оказались жизнеспособными, и сумели с честью пронести, врученную родителями эстафетную палочку. С каждым новым поколением начинается новый этап путешествия по жизни, это великая история, ей нет конца.Удивительные, поражающие воображение кадры охоты колибри за сладким нектаром. А вы знали, что камбала, несмотря на кажущуюся неповоротливость, оказывается на равных в борьбе с осьминогом? Стратегия гепарда, охотящегося за газелью, поражает, самое быстрое млекопитающее в мире наделено еще и колоссальными умственными способностями. Смотрите с детьми, мудрость природы достойна самого пристального внимания. ",https://rezka.ag/i/2016/7/28/s86f99608c680zi59n54x.jpg
Алое сердце / Алые сердца: Корё,8.6,2016,Ким Гю Тхэ,Драмы|Мелодрамы|Фантастика|Зарубежные,Ли Джун-ги||Кан Ха Ныль||Ли Чжи Ын||Сон Дон-иль||Ким Сон Гён||Чи-су||Со Джу-хён||Пак Чи-ён||Кан Ханна||Нам Джу-хёк," Удивительная история любви современной девушки и принца эпохи Корё. Южнокорейская мелодрама радует интересной сюжетной линией и блестящей игрой актеров. Режиссер Ким Гютхэ. В ролях Ли Джунги и Кан Ханыль. Милая барышня попадает в опасный круговорот событий в далеком прошлом. Как она туда попала из 21 века? Во время полного солнечного затмения по необъяснимым причинам девушка совершит путешествие во времени. Здесь начинается настоящая драма за любовь и королевский трон. Наследники престола не способны мирным путем договориться между собой. Юная леди по имени Хэ Су влюбляется в сильного и храброго Ванг Така. Все его недоброжелатели трясутся от страха, пытаются не связываться с ним, иначе их ждет жестокая расправа. Ему необходимо суметь сохранить свой авторитет и репутацию, чтобы стать новым правителем. Сама героиня, после перемещения во времени, вселяется в чужое тело своей предшественницы, которой всего лишь шестнадцать лет. В реальном времени героине исполнилось 25 лет. Девушка попадает в самую гущу событий, впереди страну ждет военный переворот и борьба за власть. Ей предстоит выжить в столь дикой для нее временной эпохе, вжиться в свой новый образ, найти свое место в новом доме. Главное не ошибиться в любви и не разбить свое сердце. Вернется ли она домой? Вдруг после смирения и обретения новой жизни ее телепортирует назад в будущее. Сериал снимают по мотивам китайской драмы «Поразительное на каждом шагу». Это отличный пример современной интерпретации телевизионного шоу. ",https://rezka.ag/i/2016/9/24/mc7112b9422dfto34m18i.jpg
BBC: Планета людей,9.1,2011,Николас Браун,Документальные|Зарубежные,Джон Хёрт," Вы задумывались над тем, что Homo sapiens – это единственный вид, ареал обитания которого простирается от экватора до полярного круга? Причём, так было задолго до того, как возникло понятие «цивилизация». Задолго до того, как появилась наука и технологии. Как получилось у одного вида выжить в столь различных условиях? Это не под силу ни одному другому живому существу. В чём секрет? На это вопрос отвечает сериал телеканала BBC «Планета людей».С точки зрения физиологии возможности человека к выживанию крайне ограничены. Мы далеко не самые сильные, ловкие и быстрые. Мы не защищены ни от холода, ни от жары, как другие представители животного мира. Наши слух, зрение и обоняние совсем не на высоте. Тем не менее, Земля – это планета людей и данный сериал расскажет почему.Глубокое исследование документалистов канала BBC подробно и обстоятельно поведает о том, как удалось человеку выжить в самых отдалённых и неприветливых уголках нашей планеты. Вы будете поражены хитростью и изобретательностью представителей человеческой расы в борьбе за выживание. Ледяные равнины, где замерзает дыхание и северные моря, смертоносные джунгли, кишащие хищниками, ядовитыми тварями и паразитами некоторые народы называют своим домом. Хотите узнать, как это стало возможным – посмотрите этот замечательный сериал. ",https://rezka.ag/i/2016/5/14/o18b705ec8874mj36r26q.jpg
